s1,s2,label
cómo reportar vendedor,quiero informar vendedor,1
dinero devuelto,cómo puedo saber cuánto dinero devuelve,0
hola esperando verifique apelación cuánto tiempo tardará vendedor preguntando pasó,cancelado pedido cuánto tiempo efecto cancelación,0
cómo verificar cuenta,cómo verificar dirección correo electrónico,1
hablar humanos,puedo hablar humanos,1
cuál significado órdenes canceladas finalizadas,pedidos cancelados vendedor sospechoso,0
satisfecho resultado disputa puedo hacer,puedo devolver producto si satisfecho,0
vendedor enviado pedido,vendedor niega enviar pedido después pagué,1
necesita tener cuenta desarrollador través api,debo crear cuenta protección comprador,0
quiero cancelar,quiero cancelar pedido,0
david howell hola necesito número teléfono ser humano puedo iniciar sesión favor ayuda,cómo tener número teléfono favor,1
cómo subir evidencia disputa,cómo presento evidencia respaldar reclamo,1
quiero hablar persona real,necesito persona real,1
aún recibido artículo,confirmé recibí producto cometí error recibido producto todavía,0
cómo borro órdenes,cómo puedo eliminar órdenes completadas órdenes inútiles cuenta,1
buenos días recibí confirmación cancelación pedido pedido finalizado recibí confirmación correo electrónico,cómo cancelo confirmación pedido,0
cómo uso cupón descuento,cómo obtengo cupón descuento 25,0
cómo cambiar monedas cupones,cómo canjeo monedas,1
insatisfecho servicio ayuda automática necesito persona real,quiero chatear persona real,1
cómo seleccionar cupón seleccionado,puedo usar cupón selección,0
devolver dinero 149 uds,cómo puedo recuperar dinero,1
pagué tarjeta envió correo electrónico número pedido,hice pedido dio ningún número seguimiento,0
ayuda cuenta,ayúdame obtener producto,0
compré producto equivocado dinero debe,producto compré defectuoso debo hacer,0
cómo uso cupón seleccionado,cómo uso select coupon,1
hola cuenta suspendido puedo dejar retroalimentación disputas abiertas pasa cuenta,puedo acceder cuenta,0
pedido cancelé reembolsado aún,cómo desactivo orden aún recibida,0
pedí artículo hace bastante tiempo todavía recibí,pagué hace 7 días pedido cambiado todavía todavía esperando pago,0
excedió número artículos,artículos knock off,0
cancela pedido,canceló pedido,1
añadir nueva dirección envío,puedo agregar dirección envío,1
cómo puedo enviar correo electrónico,cómo puedo contactarme vendedor correo electrónico,0
devolví mercancía tienda vendedor bloqueada responde pasará mercancía si vendedor confirma recibo dentro 30 días,puede acelerar envío mercancías 30 días,0
vendedor cambia método envío correo aéreo registrado poste china paquete pequeño ordinario poste china plus permiso así puedo paquete pista internacional,pagué entregar productos fedex enviado productos china,1
hice pedido cancelé dedujeron puedes confirmar si dinero revertirá cuenta,pedido cerró dinero dedujo cuenta bancaria,1
dónde puedo encontrar función búsqueda fotos,puedo buscar producto número identificación,0
dónde página detalles disputa,cómo encuentro página detalles disputa,1
si pedido muestra 'cancelar pedido ',cancelado pedido muestra espera cancelación,0
cómo cancelo cuenta,cómo cancelo procesamiento fondos,0
espera déjame mostrarte instantánea,sistema deja pagar,0
cómo extiendo protección comprador,cómo extender tiempo protección comprador,1
placer conocerte,placer hablar contigo,0
dinero devuelto cuenta aunque disputa resolvió totalidad pasado 2 meses dinero,dinero devuelto,1
abro disputa dice order empty,cómo puedo abrir disputa si orden completa,0
cómo aplico servicio garantía,cómo puedo enviar correo electrónico servicio cliente,0
dónde puedes hacer clic,ocurre haces clic botón,0
cómo puedo recoger pedido carrito,cómo puedo pagar productos carrito compras solo pago,0
preferiría llamar,puedo llamar,1
oye cuenta bloqueada comprador honesto abrí disputas ningún motivo pido desbloquee cuenta,logré iniciar sesión cuenta,0
cómo cambiar código postal,cómo publico oferta venta,0
gustaría cancelar pedido,quiero cancelar pedido,1
hola esperando verifique apelación cuánto tiempo tardará vendedor preguntando pasó,esperando acredite reembolso tarjeta cuánto tiempo tomará,0
quiero saber producto,quiero saber acerca transferencia bancaria,0
cómo obtener puntos recompensa,puntos,0
pregunté muchas veces vendedor siempre diciendo aquí semana dos,tarjeta cargada dos veces,0
cómo recuperar pedidos eliminados,cómo recupero pedido eliminado error,1
vendedor,confundido quién hablando,0
sido casi medio año,recibido pago orden,0
si vendo aquí puedo obtener pago enviado cuenta paypal,puedo usar cuenta paypal pago,0
puedo pagar pedido espero tarjeta sido cargada varias veces ciegas,intento iniciar sesión cuenta varias veces pude,0
robot ayudará,favor ayúdame urgentemente,0
aun sido enviado,pago pedido aún procesado,0
pagado pedido dinero tomado tarjeta,pagué pedido ningún mensaje banco,1
hola contactar ahora icono chat ahora lado izquierdo página ahora,haciendo ahora,0
necesita ayuda urgente,necesito ayuda compra,1
órdenes llegaron tiempo,pedidos recibieron mensaje terminado aún llegado,0
línea hora hablando persona mejor mejor puedes ver difícil,cobrado demasiado,0
pedidos buenas condiciones pedidos inglés puede cambiar holandés,gustaría cambiar opinión vendedor cómo puedo hacer,0
cómo confirmo pedido,accidentalmente presioné confirmar orden recibida,0
tercera vez comunico usted apelar decisión,considerar orden,0
cómo cargo foto disputa,puedo subir foto,0
hola mastercard acepta aunque 3d seguro,código seguro mastercard,0
dónde envío licencia conducir información tarjeta crédito probar quién,problemas pagar tarjeta crédito,0
cómo editar perfil,cómo puedo hacer cambios perfil,1
dónde encuentro carrito compras,cómo pago pedidos carrito compras,0
quiero saber cuándo recibiré reembolso recibí correo electrónico indica vendedor acepta reembolsar,quiero saber cantidad dinero devuelto,0
puedo subir video,puedo cargar archivo adjunto,0
problemas enviar id,problemas crear cuenta,0
necesito cambio puede enviar correo electrónico localizo correo electrónico necesito comprar,dirección correo electrónico incorrecta necesito cambiarla,1
ves,déjame ver si suficientemente inteligente,0
puede iniciar sesión cuenta,sentimos cuenta marcado motivos puede participar promoción,0
cómo pagar utilizando pago ideal,cómo pago pedido usando western union,0
cómo configurar dirección envío,cómo configuro dirección envío,1
favor envíeme número teléfono nadie puede ayudarme problema,favor ayúdame urgentemente,0
cómo obtener monedas aplicación,cómo usar cupón aplicación móvil,0
cómo cancelo pedido,cómo cancelo pedido después haberlo hecho,1
pedido tarde vendedor responde mensajes,decepcionado orden,0
puedo tener atención cliente normal robot favor,favor pregunta,0
pasa si gusta forma ajusta vestido si tamaño incorrecto puedo devolverlo reembolso,seleccioné tamaño incorrecto,0
contactó vendedor artículo defectuoso respondido,productos entregan debido vendedor sospechoso,0
hablar humanos,quiero hablar humano línea,1
cómo reportar vendedor,cómo informo vendedor,1
espera pague costos envío devolución si determinado vendedor envió artículos incorrectos,vendedor enviado pedido,0
ok sé proceso largo,cuánto tiempo vendedor procesa pedido,0
hablo saller dijo 69 días resolvió pregunta,sucede si vendedor dice perdió pedido,0
cómo cambiar dirección correo electrónico,cómo cambio dirección correo electrónico,1
sube evidencia video,cómo adjuntar video disputa,1
cambiar número teléfono,número teléfono servicios pago,0
número seguimiento actualiza,cómo obtener número seguimiento,0
cómo eliminar cuenta,cómo puedo iniciar sesión cuenta,0
hola reembolso realizado todavía existe compro acepto,cuenta existe debería hacer,0
hola problema,dado número seguimiento productos destinados país,0
entonces cómo hacerlo gt,número teléfono contacto poder hablar persona real,0
vendedor,problemas vendedor puedo hacer,0
proceso recuperación contraseña,puedes procesar visa,0
cómo verificar reembolso,cómo verificar motivo disputa,0
feliz hablar persona,puedo hablar persona real,1
puedes reactivar orden cancelada,cómo puedo recuperar dinero pedido cancelado,0
consulta pedido,quiero saber pedido,1
ven cama,compre producto venido país,0
gustaría hablar persona,hablo persona real,1
diciendo solo lleva dólares,tratando pagar tarjeta crédito visa sigue diciendo pago falló,0
eliminar lista deseos,cuánto tiempo puede permanecer artículo lista deseos,0
subir foto comentarios,puedo ver foto,0
hice compra procesó fondos reembolsan gustaría utilizar mismos fondos compra tener enviarlos vuelta banco sobregirado cuenta mes posible mantener f,pagado orden fondos enviados,0
cómo dejar comentarios aplicación,puedo dejar comentario privado,0
quiero cancelar pedido quiero responda producto posible,quiero pedido entregado china posible,0
puedo iniciar sesión creé compra dirección correo electrónico incorrecta,creado cuenta gratuita,0
alguien sabe vietnamita quiero oder,ordenado cosas quiero saber cuándo vas publicar,0
puedo borrar orden,puedo hacer pedido,0
puede decir si puede aceptar pagos paypal,puedes decirme haga problema,0
cómo reporto vendedor,cómo puedo reportar vendedor fraude,1
señor cómo comprar,cómo compro mayorista,0
dónde botón apelación,botón orden lugar,0
mail,programa correo electrónico registrará,0
cómo evito vendedor envíe mensaje,cómo puedo ver mensaje,0
hola hice pedido 20 abril,hola problema tienda,0
cómo elegir método envío,elegir método envío incorrecto,0
cómo volver abrir disputa,cómo puedo abrir disputa si terminado,0
recibido dinero,orden cerrado sistema pasa dinero,0
puedes borrar cuenta volveré empezar,cómo puedo eliminar órdenes completadas órdenes inútiles cuenta,0
puedes borrar cuenta volveré empezar,cómo puedo eliminar tarjeta cuenta,0
cómo verificar reembolso,cómo verificar centro mensajes,0
puedo llamar servicio cliente,puedo llamar servicios cliente,1
siguiendo queja,problemas orden,0
cancelé producto reembolso,pagué producto canceló pedido,0
mail,quiero dar baja correo electrónico,0
sé primera vez puedes echar vistazo orden decirme terminado artículos,si cancelo pedido puede decirme cuánto tiempo demorará reembolso,0
responde tan rápido puedes verme ayuda favor favor,podría ayudar,1
cariño quiero comprar hacer pedido vendedor puede cambiar precio,quiero preguntar precio,0
cómo usar cupón,cupón válido cómo usarlo,1
orden,orden regalo hija,0
hola quiero cambiar contraseña cómo puedo hacer,cómo puedo restablecer contraseña,1
cómo abrir disputa,cómo cancelar disputa abierta,0
pagado producto,pagado orden fondos enviados,1
favor puede decir envío pakistán,puedes decirme haga problema,0
cómo busco nombre tienda específico,cómo busco,0
quiero saber cuándo recibiré reembolso recibí correo electrónico indica vendedor acepta reembolsar,gustaría saber cuándo obtendré reembolso,1
pregunto cuándo recibí pedido,pregunta orden,0
solo quería saber si posible evitar fondos vuelvan acreditar cuenta orden cancelada recientemente gustaría utilizar mismos fondos recarga comprar cosa,gustaría saber cómo cancelar cuenta,0
quiero humano,puedo hablar humano,1
pondré contacto banco sé código seguridad 3d,código seguridad 3d,1
pasado 25 días pedido recibiré orden,pedido cerrado ambas partes cancelado pedido,0
hice pedido cancelé dedujeron,dedujeron pago pago reflejó orden,0
cómo verificar protección comprador,cómo protege comprador protección pago,0
producto carrito desaparecerá puedo hacer,cuántos productos puedo agregar carrito compras,0
cómo responder disputa escalada,cómo edito disputa escalada,0
quiero humano,quiero contactar humano,1
hablas italiano,hablas español,1
cómo informo vendedor fraude,vendedor fraude cómo puedo reportarlo,1
puedo cambiar cantidad variantes producto poder importarlo shopify,cuál cantidad mínima puedo pedir,0
productos pedidos puedo ver detalles rastreo,pedido productos recibí pedido,0
necesito compañía envío,vendedor puede cambiar compañía envío,0
enviado correo electrónico documentos 2 veces separado embargo cuenta verificada,cobrado pedido aún esperando pago,0
dónde puedo encontrar icono ideal puedo encontrarlo ninguna parte,dónde puedo encontrar casos disputas,0
favor alguien sepa español resulta difícil escribir traducir luego traducir escribe,alguien puedes preguntar,0
cómo detener mensajes vendedor,puedo enviar ningún mensaje ningún vendedor,0
hola eva pedido debe ser cancelado necesito ayuda favor,necesita ayuda,0
cómo bloquear mensajes,cómo elimino mensajes,0
puedo pagar pedido espero tarjeta sido cargada varias veces ciegas,ahora correo electrónico decía pedido canceló pagué,0
acabo escribir consulta,acabo romper novio,0
orden pago cerrado procesado,pedido cerrado pago realiza tiempo,1
encantado conocerte,placer hablar contigo,0
cancelado error pedido después realizado pago quiero orden hecha puedo hacer,pedido cambiado después hice pago ocurre,0
quiero ser vendedor,quiero informar comentario dado vendedor,0
explícame cómo puedo cancelar cancelación necesito devolver dinero ten orden sorteo,después cancelación devuelven dinero,0
cómo hoy,si ordeno hoy cuánto tiempo tomará llegar país,0
esperando verifique apelación,todavía esperando reembolso,0
cómo responder disputa,cómo verificar motivo disputa,0
dónde ver página cupones,obtener cupón tienda después hacer clic página tienda,0
satisfecho disputa,satisfecho producto recibido puedo hacer,0
hice pedido invitado confirmación,realizado pedido dijeron transacción cerró,0
entonces dónde puedo encontrar cupones intercambió dónde,dónde puedo ver respuesta proveedor,0
recibió monto reembolso disputa cerrada,disputa cerrada,0
trabajamos ksa egipto fecha favor,podemos ir cita,0
todavía recibido reembolso,todavía obtenido número pista,0
disponible opción pago entrega,opción entrega rápida,0
paga paypal,pagar iva,0
hola intento usar código descuento permite ingresar código,intento pagar tarjeta visa permite pagar,0
hola necesito cancelar pedido favor necesito dinero reembolsado tan pronto posible,dinero reembolsado,0
aun sido enviado,aún recibió orden,1
conecta chat vivo nuevo,gustaría chatear vivo,1
abierto disputas vendedores dijeron,vendedor dijo cancelara orden devolver dinero puedo hacer,0
número orden solo boleto,cómo pago boleto,0
puedes reactivar orden cancelada,orden cancelada,0
banco konto blz,quién pagó comisión bancaria,0
quiero comprar producto entrega gratuita,quiero comprar granel,0
hago funciona,código verificación funciona puedo hacer,0
pasa si obtengo reembolso,debo hacer obtener reembolso,1
pagué pedido dos veces hago,puedo hacer disputa dos veces,0
problema vendedor malo,problema vendedor quiero ponerme contacto,0
número comienzo compra hice fecha 21 05 2017,algún número pueda llamar realizar compra,0
pedidos cancelados muestra lista pedidos significa,cómo puedo borrar pedidos completados lista pedidos,0
hola puedo ordenar,hola problema tienda,0
hola pedí disfraz cosplay moneda equivocada cancelé pedido vendedor dijo aclaró inmediato ahora suficiente crédito tarjeta podría amablemente recibir cantidad rápido posible volver,problema orden usted podría ayudar,0
resumen orden aparece s 'opción disputa,pedido muestra cuenta,0
pedido envió 3 mayo todavía tránsito,cómo sé pedido sido enviado,0
cuándo viene ayuda,cuándo reembolso,0
recibí artículo hoy emitido reembolso cómo puedo pagar ahora,cómo puedo reembolsar dinero si pedido sido congelado,0
puedo pagar transferencia bancaria,quiero pagar factura través transferencia bancaria,1
hola hice pedido 20 abril,hice orden incorrecta,0
seguimiento funcionando,trademanager funciona,0
cómo convierto vendedor,cómo puedo contactar vendedor,0
puedo acceder pedidos dispositivos móviles pc poder imprimir pedidos,puedo combinar pedidos,0
respondeme pronto,necesito recibir mercancía pronto,0
problema seguir pedidos 15 días ahora,problema seguimiento pedido,1
ejemplo tienda cómo encontrar envío artículo ee uu,cómo puedo encontrar tienda,0
voy pedir ayuda,solo hago pregunta,1
puedes ver dónde,puedo ver cupones,0
enviado correo electrónico pasaporte fotos tarjeta crédito,enviado documentos verificación tarjeta crédito sucederá,1
devolví pedido recibido,cancelé orden hace semanas aún recibido ningún reembolso,0
solo puedo hablar japonés embargo puede responder sitio traducción,idiomas puedes hablar,0
sigues publicándome caliente encendedor cigarrillos llama recargable usb electrónico gadgets gas color blanco etc dicen puede entregar finlandia puede enviar finlandia,puedo entregar productos china,0
hola pregunta pedí producto nueva zelanda alie express shipping est entrega 13 20 días vez pedí paquete electrónico nueva zelanda entregando 20 40 días embargo paquete llegó 12 días paquete generalmente rápido n,recibí reembolso después 20 días hábiles,0
entonces error vendedor quiere confirme pedido,confirmé pedido error puedo hacer,0
hice pedido pagué tarjeta crédito luego canceló vendedor aún aplicar descuento entonces vendedor aplicado descuento ahora podemos pagar ninguna tarjeta crédito aparece mensaje 'error sistema ' intente nuevo intente,puedo pagar pedido tarjeta crédito,1
cómo devolver artículo,artículo vuelta china,0
lista pedidos,pagué artículos lista pedidos,1
puedo hacer pagar vendedor bienes recibidos,recibido reembolso puedo hacer,0
gustaría saber arancel adicional cómo puedo usar,cómo puedo saber producto,0
realmente necesito ser humano hablar,realmente das información necesito,0
necesitamos integrar sdk,debo crear cuenta protección comprador,0
trato reembolso devuelvo producto menú demasiado caro envío productos china quién soporta costo transporte bienes,quiero devolver bienes,0
hola puedo pagar entregado,cuándo puedo pagar pedido tarjeta débito visa,0
solo quería saber si posible evitar fondos vuelvan acreditar cuenta orden cancelada recientemente gustaría utilizar mismos fondos recarga comprar cosa,pagado orden fondos enviados,0
pedirle orden alguien,alguien usó tarjeta crédito autorización,0
cancelar esperando pago,orden todavía esperando pago,0
puedes verificar disputa,puedes verificar dirección correo electrónico,0
cómo cambiar dirección entrega,cómo puedo verificar si dirección correcta entrega,0
necesito ayuda pedido,necesito cambiar nombre orden,0
quiero responder diez mejores artículos favor díganme necesito diez artículos principales vendieron 2017,favor dime paso articulos,0
podrás ayudarme,puedes procesar visa,0
envían,envíame contacto correo electrónico servicio cliente,0
supongo robot,sé robot,1
ok explicaré brevemente,ok bye eva,0
quiero cancelar tarjeta crédito,quiero saber carga tarjeta crédito reciban pedidos,0
necesito cancelar pedido necesito devuelvan dinero,quiero cancelar orden recuperar dinero,1
protección comprador terminado recibido paquetes 3 4 pedidos contento vendedores extendieron protección comprador excepción gustaría devuelva dinero,cómo extender tiempo protección comprador,0
encontrar número orden etc,cómo obtener número orden,1
cómo editar contacto,cómo edito perfil,1
recibí reembolso total,dónde jack ma,0
quiero orden quiero cambiar dirección inglés holandés,quiero cambiar orden,1
perdóname cómo tomar captura pantalla,cuánto tiempo llevará llegar aquí,0
funcionó,cómo ponerse trabajar,0
cómo contactar servicio cliente,cómo puedo contactar servicio atención cliente,1
cómo puedo verificar cuenta,cómo puedo desactivar cuenta,0
veo pregunta solo trato hacer pedido sitio web responde,sé sitio web,0
después pago cómo informo hice voy hacer unión oeste cómo hago,hice pago moneda banco cómo recibo devolución,0
pasado 32 días veo ninguna actualización pedido,pagué puedo ver ninguna confirmación pago,0
puedo hablarle humano favor,puedo hablar persona,1
buen día reemplazar número tarjeta pago,pago bueno pedido cancelado,0
cómo puedo obtener código seguimiento nacional producto,puedo encontrar código seguimiento producto,1
cancelado envío,esperando envío,0
pakistán quiero volver vender productos,quiero precio productos,0
cómo enviar comentario,cómo elimino comentario,0
llegando ningún lado,hice pedido tarjeta seguía siendo rechazada,0
cómo cargo foto,puedo subir archivos adjuntos,1
pedido procesado confirmado detalles pago,verifica pago mientras pago procesado,0
siento hablo robot gusta,quiero hablar robot,1
realizó pago después cancelar pedido,pago pasa hago,0
orden cancelada,cómo saber si pedido cancela,0
cancelo pedido reembolso cambia,cómo puedo cambiar razón cancelar pedido,0
cómo posible cargue compre,puedo comprar ningún producto bloqueen,0
recibido productos,quiero saber si españa cuánto tiempo espero,0
carrito vacio,carrito compras borrado,1
hola puedo pagar entregado,hola problema tienda,0
cómo informar vendedor,cómo informo vendedor,1
satisfecho disputa,reembolso disputa,0
envío cancelado,pedido verificado ahora cancelado,0
necesito abrir disputa,cuándo puedo abrir disputa,0
vendedor prometido recibir artículos dentro 25 días ahora 30 días aún recibo pedido quiero reembolso completo prometió pasaron 25 días,pagué hace 7 días pedido cambiado todavía todavía esperando pago,0
deseo cambiar dirección correo electrónico dirección correo anterior uso,alguien usa dirección correo electrónico,0
registrado dirección correo electrónico incorrecta,ingresado dirección entrega incorrecta,0
vendedor responde,vendedor honesto,0
problema vendedor,problema,0
cómo contactar vendedor,cómo envío imagen vendedor,0
favor problema,problema cupón,0
ahora olvido contraseña,quiero cambiar contraseña olvidé pregunta seguridad,0
nueva tarjeta débito cómo puedo actualizar tarjeta,cómo pago tarjeta débito visa,0
recibí correo electrónico confirmación registro correo electrónico nunca usé supuesto confirmé después recibí confirmación pedido hecho absoluto,nunca confirmo pedido recibido transacción completa,0
recibiste pedido,recibiste pregunta,0
cómo guardar método pago,usar método pago,0
fecha límite abrir disputa terminado cómo puedo,cómo abro disputa,0
todavía recibido pedido dura demasiado,cancelé orden hace semanas aún recibido ningún reembolso,0
quiero saber si pakistán entregas casa llevarás dólares moneda,número puedo llamar servicio cliente aquí unidos,0
recibido pedido disputa petición vendedor cerró ahora producto disputa nuevo puede abrir,pedido muestra disputa cerrada,0
cómo uso select coupon,cómo uso cupón vendedor,0
cómo puedo apelar órdenes resueltas razones seguridad,pasó última transacción,0
supongo robot,conectado robot,0
puedo abrir páginas tales bienes,puedo obtener opciones pago además tarjeta crédito,0
embargo traté comprar misma impresora pagué misma tarjeta crédito funciona,pagué mismo producto dos veces,0
todavía recibido pedido dura demasiado,pago pedido aún procesado,0
cómo apelo pago,pregunto cómo puedo enviar comprobante pago compras,0
cómo usar puntos recompensa,cómo usar cupón registro,0
recibido pedido ninguna conformación incluso siendo enviado,cómo puedo saber si pedido enviado,1
problemas ver sitio,problema cupón,0
guardar tarjeta crédito,tipo tarjeta crédito,0
redención dice días,puedo iniciar sesión dice cuenta desactivada,0
recibido pedido disputa petición vendedor cerró ahora producto disputa nuevo puede abrir,quiero abrir disputa orden,0
hola eva recuerda,hola señorita eva,1
cuenta rota,cómo cancelar cuenta,0
cómo comprobar cupón,cómo verificar motivo disputa,0
imposible crear cuenta,imposible ordenar producto,0
necesito acelerar tres pedidos sido enviado dos pendientes alguna forma ayudarme,alguna manera ordenar tarjeta crédito,0
puedo crear iniciar sesión cuenta deja después ingresar código,puedo crear cuenta,0
puedo dejar comentarios,cuándo puedo dejar comentarios,0
quiero agrupar proveedores país,proveedores suspendidos mientras pagaba,0
preguntando,hora allí,0
quiero hablar trabajador,quiero saber si alguien puede hablar,0
hablé contigo ayer,quiero,0
cómo establecer nueva dirección envío,cómo configuro dirección envío,1
envío mensajería alemania,mensajero cambia dirección envío,0
puedo hacer cuenta quiero rastrear paquete,quiero devolver paquete,0
puede ayudarme,puedes ayudarme,1
todavía recibido reembolso,pedido todavía esperando ser enviado,0
puedo usar tarjeta visa entonces si así cómo podría agregar tarjeta información,puedo usar tarjeta credito,0
número podría llegar,número teléfono alcanzar,1
quiero usar método pago,método pago,1
uso cajero automático,puedo usar cupón,0
cómo presentar queja,tal queja,0
trata orden seguimiento,protección compra orden trata,0
producto llegó puedo transferir dinero vendedor,cuándo daré dinero producto,0
cómo eliminar comentarios,cómo informar abuso comentarios,0
envías irán,usted envía china,0
cómo responder propuesta caso disputa,cuál número caso,0
después cantidad días recibí producto país pakistán obtuve número rastreo 2 días,cuántos días puedo esperar entrega,1
pedido canceló envío,cancelaste pedido,1
hecho seguimiento,hecho ayudó,0
cómo restablezco contraseña,puedo recibir correo electrónico restablecimiento contraseña,0
número recibido,recibí error número cuenta bancaria válido,0
proyector compré venía defecto intenté abrir disputa sitio web sugirió negocie tienda traté negociar tienda prometió enviar proyector hice parte molestó recibió th,recibí factura,0
cómo encontrar número pedido,cómo encontrar número orden,1
5 vez contacto orden viene,podría tener contacto,0
necesito comprar pedido pagar tienda ajustar precio entonces pago,quiero pagar pedido,0
cómo registro cuenta comercial,cómo puedo registrar cuenta,0
si solicito producto alemania entregado finlandia pagar aduanas impuestos,pagar impuestos aduanas,1
necesito ayuda apelación,necesito ayuda seguimiento envío,0
duplicar pagos resolver,cobraron dos pagos,1
encuentro icono ideal opciones pago,puedo pagar ideal,1
hola pregunta sitio sabes realmente encanta navegar buscar cosas divertidas comprar pregunto si planes poner botón producto aleatorio página enviarte página azar,quiero,0
puedo ver orden auto,puedo ver últimas órdenes,1
pais vives,ciudad vienes,0
abrí disputa rechazan,puedo abrir disputa si pago sido liberado,0
envío cancelado,cancela pedido,1
algún cargo extra reembolso,cargos extra comprador,1
pasará abra disputa,pasará si vendedor responde disputa,0
descripción paquete debe ser mencionado,aduanas mantuvo paquete,0
cuál contraseña puedo entender enviaste,envié materiales verificar tarjeta crédito sucederá,0
ok pedí camiseta verificó pagó vendedor cancelado pedido respondo correo preocupado,pagué pedido luego cancelado vendedor reembolsado dinero,1
intercambia monedas cupones,monedas,0
eliminar lista deseos,compartir lista deseos,0
quiero saber cuándo recibiré reembolso recibí correo electrónico indica vendedor acepta reembolsar,pagué quiero saber cuándo recibiré vuelta pagos,1
necesito llamar contigo,puedo llamarte,1
ok sé proceso largo,envío tarda,1
cómo editar contacto,cómo puedo editar perfil,1
solo hoy recibido,pedí 5 piezas solo recibí 3,0
puedo encontrar información disputa rechazada,dónde encuentro información disputas,1
pido abrigo invierno pasado enero comprador entiende demasiado pequeño quiere darme reembolso muchas causas estúpidas ayúdame favor,favor dame lista buenos proveedores,0
sigues publicándome caliente encendedor cigarrillos llama recargable usb electrónico gadgets gas color blanco etc dicen puede entregar finlandia puede enviar finlandia,cuánto tiempo lleva entregar,0
añadir nueva dirección envío,dirección envío disponible,0
hola problemas pedido,problemas pagar tarjeta débito visa,0
cómo subir imagen disputa,cómo puedo subir archivo,1
cómo suscribirse,cómo verificar tiendas guardadas,0
hola problema pedido puede ayudar favor,hola preguntar pedido pueden ayudar,1
tarjeta crédito visa vencido ahora renovó,cómo pagar tarjeta crédito,0
hola gustaría saber si vendedor necesita envíe vuelta cómo reembolsa tarifas envío costo vestido usando correo registrado singapur,tratando pedir vestido da tamaño elegir,0
persona real,persona viva,1
recibido dinero,obtuve reembolso dinero pasado dos meses cuándo devolverá dinero,1
solo quiero puta contraseña,quiero cambiar contraseña olvidé pregunta seguridad,0
recibido mercancía,pago después recibir mercancía,0
protección compradores,puedo enviar correos compradores,0
alguna vez puedo denunciar abuso uso tarjeta,cómo reportar abuso,0
cómo presentar queja,cómo presentar reclamo,1
tarjeta crédito contigo obtener pago instantáneo,puedo pagar pedido tarjeta crédito brasileña,1
gracias ayuda,gracias comentarios,1
agregar dirección correo electrónico,quiero agregar dirección cuenta,0
favor responda pregunta obtuve ningún reembolso caso comunico banko reembolso,puedo obtener persona real responder pregunta,0
quiero verificar si orden procesada,cómo puedo verificar dirección,0
productos compré funcionan puesto contacto vendedor directamente solo recibo emojis respuestas puede abrir disputa,hago clic abrir botón disputa funciona,1
cómo aplicar garantía,cómo solicito regalos,0
diciendo cancele disputa,cómo cancelo disputa,1
cómo contactar servicio cliente,cómo pongo contacto servicio cliente,1
vendedor responde,respuesta automática,0
pedí artículo hace bastante tiempo todavía recibí,puedo cambiar tamaño artículo ordenado,0
hola hong kong personal tienda u oficina hong kong,oficina,1
debo cambiar motivo cancelación pedido vendedor quería aumentar precio,quería saber pedido,0
cómo agregar video,cómo agregar videos disputa,1
quería comprar opciones pago solo disponible tarjeta crédito,opciones pago puedo usar,0
persona real,persona humana máquina,1
necesito plantear disputa,necesito enviar disputa vendedor puedo hacer,1
chat 20 5 17 ist producido resultados según prometido agentes,suficientes resultados búsqueda,0
disputa terminado bolsas té todavía llegado,tratando solicitar reembolso vendedor disputa finalizado,0
dirección devolución necesaria,dirección vuelta,1
agregar video evidencia,cómo agregar video,1
cómo eliminar comentarios,quiero eliminar comentarios,1
hablas español,habla usted francés,1
id pedido,cuál id trademanager,0
cómo recuperar contraseña,cómo puedo restablecer contraseña,1
pregunta máquina cnc,puesto contacto proveedor producto respondido pregunta,0
volver enviar documentos envié,número atención cliente,0
hola punto limpiar lista pedidos embargo pude eliminar pedidos anteriores,hola necesito decirte orden,0
vendedor respondió,respuesta,1
dinero envía,enviar foto,0
recibiendo error dice banco rechazado pago,pago rechazado banco,1
dónde encuentro carrito compras,cómo cancelo productos carrito compras,0
problemas iniciar sesión,problemas pagar artículo,0
quiero mentir razón artículo dañado,quiero hablar robot,0
razón debe razón seguridad suspendieron cuenta,acepta pago western union motivo número cuenta correcto,0
cómo volver abrir disputa,cómo abro disputa,0
reemplazar información tarjeta,guardé tarjeta crédito necesito reemplazarla nueva,1
pedazo mierda esperanza,significa producto vende pieza,0
número orden solo boleto,artículos tardan enviarse país,0
cómo encontrar número orden,cómo encontrar número orden,1
autoridades aduaneras manteniendo pedidos pidiendo factura entonces hacer tenerlo fácil urgente,bienes sido detenidos aduana puedo hacer,1
preguntando,vendedores piden pago enviar artículos,0
llamado,escrito vendedor diferentes maneras todavía ignora,0
cómo verificar nivel membresía,cómo verificar motivo disputa,0
dónde encontrar identificador postal,dónde puedo encontrar comprobante pago pedido,0
paga impuesto,debo pagar impuestos si ordeno china,1
placer conocerte,buena chica,0
debo tomar paquete solo,cómo puedo protegerme correo electrónico falso,0
cambiando tamaño artículo,decir tamaño,0
cómo subir fotos,sé cómo subir fotos,0
ido mal envío paquete,proveedor enviado pedido dirección incorrecta,1
usando american express expiró,estafado,0
envías irán,envías país,1
quiero cancelar cargo envío adicional artículo compré,necesito factura artículo compré,0
número comienzo compra hice fecha 21 05 2017,hice compra,0
